"filename","firstTime","lastTime","passengers","bystanders","operation","notes"
"xethru_presence_movinglist_20180424_095656_1.csv","2018-04-24T09:56:56.878-05:00","2018-04-24T09:57:13.824-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_2.csv","2018-04-24T09:57:14.822-05:00","2018-04-24T09:57:31.768-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_3.csv","2018-04-24T09:57:32.765-05:00","2018-04-24T09:57:49.710-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_4.csv","2018-04-24T09:57:50.708-05:00","2018-04-24T09:58:07.653-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_5.csv","2018-04-24T09:58:08.651-05:00","2018-04-24T09:58:25.597-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_6.csv","2018-04-24T09:58:26.594-05:00","2018-04-24T09:58:43.540-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_7.csv","2018-04-24T09:58:44.537-05:00","2018-04-24T09:59:01.484-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_8.csv","2018-04-24T09:59:02.481-05:00","2018-04-24T09:59:19.426-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_9.csv","2018-04-24T09:59:20.423-05:00","2018-04-24T09:59:37.369-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_10.csv","2018-04-24T09:59:38.366-05:00","2018-04-24T09:59:55.312-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_11.csv","2018-04-24T09:59:56.310-05:00","2018-04-24T10:00:13.255-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_12.csv","2018-04-24T10:00:14.253-05:00","2018-04-24T10:00:31.198-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_13.csv","2018-04-24T10:00:32.196-05:00","2018-04-24T10:00:49.141-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_14.csv","2018-04-24T10:00:50.139-05:00","2018-04-24T10:01:07.085-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_15.csv","2018-04-24T10:01:08.082-05:00","2018-04-24T10:01:25.028-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_16.csv","2018-04-24T10:01:26.025-05:00","2018-04-24T10:01:42.970-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_17.csv","2018-04-24T10:01:43.968-05:00","2018-04-24T10:02:00.914-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_18.csv","2018-04-24T10:02:01.911-05:00","2018-04-24T10:02:18.857-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_19.csv","2018-04-24T10:02:19.854-05:00","2018-04-24T10:02:36.800-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_20.csv","2018-04-24T10:02:37.797-05:00","2018-04-24T10:02:54.743-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_21.csv","2018-04-24T10:02:55.740-05:00","2018-04-24T10:03:12.686-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_22.csv","2018-04-24T10:03:13.683-05:00","2018-04-24T10:03:30.629-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_23.csv","2018-04-24T10:03:31.626-05:00","2018-04-24T10:03:48.573-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_24.csv","2018-04-24T10:03:49.571-05:00","2018-04-24T10:04:06.515-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_25.csv","2018-04-24T10:04:07.512-05:00","2018-04-24T10:04:24.458-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_26.csv","2018-04-24T10:04:25.456-05:00","2018-04-24T10:04:42.402-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_27.csv","2018-04-24T10:04:43.399-05:00","2018-04-24T10:05:00.346-05:00","0","0","1",""
"xethru_presence_movinglist_20180424_095656_28.csv","2018-04-24T10:05:01.342-05:00","2018-04-24T10:05:18.288-05:00","0","0","1",""
